Source,Site,Type,ID,plotID,Species,dbh,Age
NC,Fames Rough 2,PL,CH-PL-6000-FAM2,CH-PL-6000-FAM270-150B,Hawthorn,10,74
NC,Fames Rough 2,PL,CH-PL-6000-FAM2,CH-PL-6000-FAM270-150B,Hawthorn,11.4,74
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,10.3,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,16,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,18.2,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,19.6,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,12.8,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,18.1,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,12.3,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,11.8,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,17,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,13.6,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,11.4,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,10.6,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,10,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,15.7,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,17.6,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,15.6,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,18.8,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,17.3,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,13.6,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,11.1,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,9.2,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,14.8,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL0-30B,Hawthorn,12.5,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL70-150B,Hawthorn,8.7,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL70-150B,Hawthorn,13.2,69
NC,Fames Rough 2,PL,CH-PL-6000-FAM2,CH-PL-6000-FAM270-150B,Hawthorn,10.5,74
NC,Fames Rough 2,PL,CH-PL-6000-FAM2,CH-PL-6000-FAM270-150A,Oak,28.6,74
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL70-150B,Hawthorn,7.4,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL70-150B,Hawthorn,10.8,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL70-150B,Hawthorn,12.4,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL70-150B,Hawthorn,11.3,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL70-150B,Hawthorn,15.1,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL70-150B,Hawthorn,18.9,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL70-150B,Hawthorn,10,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL70-150B,Hawthorn,13.5,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL70-150B,Hawthorn,10.6,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL70-150B,Hawthorn,12.5,69
NC,Hayley wood,PL,EA-PL-6000-HAYL,EA-PL-6000-HAYL70-150B,Hawthorn,14.5,69
