ID,siteEffCan,mean10mEffCan,sd10mEffCan,mean30mEffCan,sd30mEffCan,site_area,gap_prop,patch_den,np,pd,ta,area_mn,area_sd,para_mn,para_sd,ai,cohesion,glcmCorrelation_mean,glcmCorrelation_sd,glcmContrast_mean,glcmContrast_sd,glcmEntropy_mean,glcmEntropy_sd,siteEffStories,mean10mEffStories,sd10mEffStories,mean30mEffStories,sd30mEffStories
DW_M3,4.16,1.8,1.11,2.27,1.36,8.922805496724463,0.18154603959423535,10.086513712871893,90,5555.8985122538425,1.6199000000000001,0.01799888888888889,0.06239448530522846,1.3498316138834785,0.8420084660649974,92.99686273326017,97.57861816449815,0.38,0.28,3.5,3.85,2.42,0.79,3.92,3.21,0.81,3.58,0.57
DW_M4,3.87,1.65,1.04,2.02,1.26,5.379698013492208,0.21110850407433282,12.268346631069797,66,5811.393854010743,1.1357,0.01720757575757576,0.06697534634959358,1.6614735227167337,0.9652248680739581,93.28250387572606,98.25871408644366,0.38,0.29,5.02,5.53,2.52,0.86,3.92,3.21,0.81,3.58,0.57
DW_P1,4.37,1.5,0.76,1.89,1.02,3.5276646578459303,0.1914581077024521,13.039788205970975,46,6810.778797749483,0.6754,0.014682608695652175,0.058061034186632055,1.415853289594619,0.7290333105184276,92.35869647218922,98.44386552815453,0.31,0.29,0.67,0.58,1.64,0.6,3.92,3.21,0.81,3.58,0.57
EA-EW-1020-LOSH,5.19,1.65,1,2.25,1.44,0.7351787997663604,0.22933196666386604,8.161279952450748,6,3558.7188612099644,0.1686,0.028100000000000003,0.06594713033938626,1.7933620159803318,1.2484262105936246,92.7884526770504,99.6383295366024,0.4,0.26,4.87,6.16,2.65,0.55,3.92,3.21,0.81,3.58,0.57
EA-EWNC-0510-ARG2,3.34,1.48,0.85,1.86,1.01,4.8237023051373935,0.015195796789103924,3.3169542786584283,16,21828.103683492496,0.0733,0.00458125,0.0037498833315184623,1.2315521445155406,0.8349503011281565,91.9995276138202,90.28736109008602,0.42,0.27,5.04,5.22,2.71,0.52,3.92,3.21,0.81,3.58,0.57
EA-EWNC-1020-HIGH,4.23,1.66,1.03,2.02,1.2,7.3168505829944275,0.04217661635967223,10.113640993570137,74,23979.261179520414,0.30860000000000004,0.004170270270270271,0.005343507896343199,1.340307422805899,0.7779040994852804,91.63623869526481,89.26505190068977,0.48,0.26,7.38,10.2,2.66,0.62,3.92,3.21,0.81,3.58,0.57
EA-EWNC-1020-SUGL,3.03,1.41,0.79,1.62,0.92,8.190449619851634,0.01618958740416524,3.296522322115094,27,20361.990950226245,0.1326,0.004911111111111112,0.012538044668231331,1.6098289786698505,0.8587344022607989,90.93535903378451,94.6500786717419,0.36,0.28,5.06,4.26,2.78,0.46,3.92,3.21,0.81,3.58,0.57
EA-EWNC-2030-ARG1,4.52,1.74,1.13,2.19,1.37,8.198933923271625,0.3048079205647242,6.83015627690951,56,2240.8066904085467,2.4991000000000003,0.04462678571428572,0.28848607812073107,1.1669789865569913,0.4765729803119792,95.211199575385,99.64844358114256,0.4,0.29,5.76,7.45,2.22,1.19,3.92,3.21,0.81,3.58,0.57
EA-EWNC-2030-WIL2,2.42,1.37,0.73,1.6,0.95,3.877964185186103,0.004615823959483263,2.578672603063275,10,55865.921787709485,0.017900000000000003,0.0017900000000000001,0.001285344744071065,1.3288456718719877,0.2728062014744428,91.02032338122189,84.14392278759676,0.37,0.27,4.91,3.75,2.83,0.4,3.92,3.21,0.81,3.58,0.57
EA-EWNC-3040-WIL3,2.67,1.3,0.58,1.42,0.6,4.0808116054788695,0.003136630954199113,1.9603943463744455,8,62500,0.0128,0.0016,0.001192835756865606,1.4171879764713435,0.28805195259426936,90.75311675150829,84.78377446475956,0.39,0.27,6.52,5.91,2.87,0.43,3.92,3.21,0.81,3.58,0.57
EA-EWNC-6000-HAYL,2.78,1.46,0.79,1.69,0.96,47.456059960776194,0.04559797003351154,2.718304050243999,129,5961.45847774851,2.1639,0.016774418604651165,0.09359496203645074,1.5925656192756903,0.9167179569556974,92.26118891521337,98.53807287314667,0.38,0.27,4.45,4.42,2.64,0.6,3.92,3.21,0.81,3.58,0.57
EA-EWNC-6000-WIL4,2.73,1.35,0.68,1.56,0.83,11.794838795370586,0.019720489956275986,3.4760966818887167,41,17626.827171109202,0.2326,0.005673170731707317,0.01368868190130525,1.1864869227204016,0.45231893666819967,94.75350243306617,92.8221925808815,0.36,0.27,5.83,5.21,2.8,0.5,3.92,3.21,0.81,3.58,0.57
EA-EWPL-1020-HIGH,3.93,1.51,0.82,1.97,1.11,0.4519610127766151,0.10996523725502087,22.125802264591726,10,20120.72434607646,0.0497,0.0049700000000000005,0.009835768060163544,1.7383846060786072,1.0633151351169678,86.65827133868214,96.24897929945487,0.3,0.27,0.64,0.48,1.65,0.5,3.92,3.21,0.81,3.58,0.57
EA-EWPL-1020-SUGL,3.01,1.47,0.69,1.7,0.84,53.846516688526606,0.009653363522226812,1.4299903640082041,77,14813.389765294343,0.5198,0.006750649350649351,0.012250291332482276,1.290929993919402,0.7036981027300347,92.76515686706645,93.03824034096054,0.36,0.27,6.71,6.09,2.88,0.42,3.92,3.21,0.81,3.58,0.57
EA-EWPL-2030-ARG1,4.17,1.73,1.05,2.16,1.24,5.960775236942107,0.16271373461441924,8.891460907891762,53,5464.48087431694,0.9699,0.0183,0.05461412891297523,1.4311119029925679,0.9834994867338283,94.06214949636203,97.38671299854848,0.41,0.28,6.23,6.45,2.59,0.87,3.92,3.21,0.81,3.58,0.57
EA-EWPL-3040-WIL3,3.52,1.4,0.66,1.68,0.9,2.0886256552783773,0.006559337220328278,2.3939186935504666,5,36496.3503649635,0.0137,0.0027400000000000002,0.0022074872593063817,1.2195563998842687,0.4525602971079442,93.45863341893705,89.71397813253961,0.51,0.26,4.78,5.63,2.67,0.57,3.92,3.21,0.81,3.58,0.57
