"","ID","siteFHD_gaps","siteFHD_gapless","mean10mFHD_gaps","sd10mFHD_gaps","mean30mFHD_gaps","sd30mFHD_gaps","mean10mFHD_gapless","sd10mFHD_gapless","mean30mFHD_gapless","sd30mFHD_gapless"
"140","FL_M1",3.83,3.83,3.24,0.71,3.47,0.58,3.24,0.71,3.47,0.58
"141","FL_M2",3.46,3.46,2.93,0.76,3.05,0.67,2.93,0.76,3.05,0.67
"142","FL_M4",3.79,3.79,3.03,0.89,3.29,0.69,3.03,0.89,3.29,0.69
"143","FL_P1",3.53,3.53,2.82,0.63,2.92,0.68,2.82,0.63,2.92,0.68
"144","HF_M1",3.46,3.46,2.84,0.68,3.1,0.66,2.84,0.68,3.1,0.66
"145","HF_M2",3.36,3.36,2.6,0.71,2.96,0.58,2.6,0.71,2.96,0.58
"146","HF_M3",3.29,3.29,2.81,0.73,2.95,0.68,2.81,0.73,2.95,0.68
"147","HF_M4",4.17,4.17,3.03,0.83,3.47,0.73,3.03,0.83,3.47,0.73
"148","HF_P1",3.18,3.18,2.69,0.43,2.88,0.34,2.69,0.43,2.88,0.34
"149","LB_M1",4.71,4.71,3.89,0.9,4.21,0.76,3.89,0.9,4.21,0.76
"150","LB_M2",4.55,4.55,3.34,0.79,3.72,0.73,3.34,0.79,3.72,0.73
"151","LB_M3",4.54,4.54,3.57,0.73,3.87,0.61,3.57,0.73,3.87,0.61
"152","LB_M4",4.47,4.47,3.02,1.1,3.38,1.09,3.02,1.1,3.38,1.09
"153","LB_P1",3.25,3.25,2.59,0.74,2.7,0.85,2.59,0.74,2.7,0.85
"154","MG_M1",3.85,3.85,2.79,0.79,3.19,0.71,2.79,0.79,3.19,0.71
"155","MG_M2",3.55,3.55,3.11,0.59,3.33,0.5,3.11,0.59,3.33,0.5
"156","MG_M3",4.08,4.08,3.1,0.83,3.39,0.84,3.1,0.83,3.39,0.84
"157","MG_M4",3.98,3.98,3.38,0.68,3.76,0.3,3.38,0.68,3.76,0.3
"158","MG_P1",1.81,1.81,1.55,0.65,1.67,0.6,1.55,0.65,1.67,0.6
"159","SE-EW-1020-COMF",4.27,4.27,3.5,0.85,3.95,0.6,3.5,0.85,3.95,0.6
"160","SE-EW-1020-VICT",3.13,3.13,3.03,0.46,3.14,0.43,3.03,0.46,3.14,0.43
"161","SE-EWNC-1020-HAIN",3.62,3.62,3.3,0.66,3.44,0.53,3.3,0.66,3.44,0.53
"162","SE-EWNC-2030-OLDP",3.48,3.48,2.93,0.69,3.15,0.63,2.93,0.69,3.15,0.63
"163","SE-EWNC-3040-RAVE",4.78,4.78,3.54,0.78,3.95,0.56,3.54,0.78,3.95,0.56
"164","SE-EWNC-6000-BOWD",3.69,3.69,3.13,0.67,3.35,0.57,3.13,0.67,3.35,0.57
"165","SE-EWPL-1020-HAIN",3.89,3.89,3.45,0.67,3.51,0.59,3.45,0.67,3.51,0.59
"166","SE-EWPL-2030-OLDP",4.07,4.07,3.52,0.69,3.68,0.59,3.52,0.69,3.68,0.59
"167","SE-EWPL-3040-RAVE",3.84,3.84,3.28,0.72,3.67,0.67,3.28,0.72,3.67,0.67
"168","SE-EWPL-5060-BOWD",3.46,3.46,2.99,0.61,3.21,0.51,2.99,0.61,3.21,0.51
"169","SE-NC-1020-COMF",1.52,1.52,1.39,0.68,1.56,0.63,1.39,0.68,1.56,0.63
"170","SE-NC-1020-HAIN",4.05,4.05,3.33,0.87,3.49,0.8,3.33,0.87,3.49,0.8
"171","SE-NC-1020-VICT",1.76,1.76,1.48,0.77,1.81,1,1.48,0.77,1.81,1
"172","SE-NC-2030-OLDP",3.58,3.58,2.64,1,3.06,0.88,2.64,1,3.06,0.88
"173","SE-NC-3040-RAVE",3.55,3.55,2.73,0.91,3.04,0.74,2.73,0.91,3.04,0.74
"174","SE-NC-6000-BOWD",3.07,3.07,2.61,0.75,2.83,0.53,2.61,0.75,2.83,0.53
"175","SE-PL-1020-COMF",1.11,1.11,1.09,0.23,1.14,0.42,1.09,0.23,1.14,0.42
"176","SE-PL-1020-HAIN",2.73,2.73,1.83,0.67,2.01,0.87,1.83,0.67,2.01,0.87
"177","SE-PL-1020-VICT",1.99,1.99,1.69,0.56,1.67,0.52,1.69,0.56,1.67,0.52
