"","level","site_id","area","perim","para"
"428","patch","1412786",8e-04,14,1.75
"429","patch","1412786",0.0013,16,1.23076923076923
"430","patch","1412786",7e-04,12,1.71428571428571
"431","patch","1412786",7e-04,12,1.71428571428571
"432","patch","1412786",0.0033,28,0.848484848484849
"433","patch","1412786",6e-04,12,2
"434","patch","1412786",0.0012,18,1.5
"435","patch","1412786",0.0011,16,1.45454545454545
"436","patch","1412786",0.0013,20,1.53846153846154
"437","patch","1412786",0.0013,16,1.23076923076923
"438","patch","1412786",0.0016,18,1.125
"439","patch","1412786",6e-04,12,2
"440","patch","1412786",0.0016,18,1.125
"441","patch","1412786",0.0011,18,1.63636363636364
"442","patch","1412786",0.001,18,1.8
"443","patch","1412786",0.0047,36,0.765957446808511
"444","patch","1412786",0.0014,20,1.42857142857143
"445","patch","1412786",0.0013,16,1.23076923076923
"446","patch","1412786",0.0011,14,1.27272727272727
"447","patch","1412786",0.002,28,1.4
"448","patch","1412786",0.0016,24,1.5
"449","patch","1412786",0.0015,20,1.33333333333333
"450","patch","1412786",5e-04,10,2
"451","patch","1412786",9e-04,14,1.55555555555556
"452","patch","1412786",6e-04,12,2
"453","patch","1412786",8e-04,14,1.75
"454","patch","1412786",6e-04,12,2
"455","patch","1412786",0.0016,18,1.125
"456","patch","1412786",0.001,14,1.4
"457","patch","1412786",0.0021,20,0.952380952380952
"458","patch","1412786",0.0016,22,1.375
"459","patch","1412786",6e-04,10,1.66666666666667
"460","patch","1412786",0.002,24,1.2
"461","patch","1412786",0.0016,24,1.5
"462","patch","1412786",5e-04,10,2
"463","patch","1412786",0.0042,40,0.952380952380952
"464","patch","1412786",0.0018,20,1.11111111111111
"465","patch","1412786",0.0136,96,0.705882352941177
"466","patch","1503147",2e-04,6,3
"467","patch","1503147",3e-04,10,3.33333333333333
"468","patch","1503147",9e-04,18,2
"469","patch","1503147",0.0014,18,1.28571428571429
"470","patch","1503147",9e-04,14,1.55555555555556
"471","patch","1503147",0.0014,20,1.42857142857143
"472","patch","1503147",0.0017,18,1.05882352941176
"473","patch","1503147",6e-04,12,2
"474","patch","1503147",0.0017,24,1.41176470588235
"475","patch","182014",0.7388,1710,0.231456415809421
"476","patch","182014",0.0068,40,0.588235294117647
