"","scpt","cpmt","management_prescription","last_thinned","next_thin_date","selection_type","species","plyr","next_intervention_year","next_intervention_type","heightChange","gapArea_2017","gapArea_2024","meanFHD_2017","meanFHD_2024","stems_2017","stems_2024"
"353","A",3231,NA,"2017<2024",2024,"Intermediate","Douglas fir",1964,-1,NA,4.11103691256619,1016.75794164296,620.46255913443,1.80449494949495,1.60535353535354,676,683
"354","A",4439,"Retain  and halo any mature broadleaf","2017<2024",2027,"Intermediate","Douglas fir",1965,-1,"Felling",1.3785423954078,892.669271098355,550.412691092359,1.99,1.74134615384615,291,292
"355","A",4314,"Thinning
Group planting","2017<2024",2024,"Intermediate","Beech",1944,-1,"Felling",1.8329368930508,2233.67252125323,2014.50842841518,1.37517857142857,1.4377806122449,309,303
"356","A",4512,NA,"2017<2024",2028,"Intermediate","Douglas fir",1968,2042,"Felling",0.322455587985204,3981.00593637963,4624.49180076814,1.49052747252747,1.54156043956044,1046,1002
"357","J",3300,NA,"2017<2024",2024,"Intermediate","Oak (robur/petraea)",1968,NA,NA,4.822927673931,637.478579098504,108.081136468689,1.99214285714286,1.68821428571429,47,44
"358","A",4207,NA,"2017<2024",2026,"Intermediate","Western hemlock",1967,2101,"Felling",-0.328862719353272,366.272279399294,1158.86154323953,1.29568322981366,1.32639751552795,529,513
"359","E",4621,NA,"2017<2024",2028,"Crown","Scots pine",1939,2101,"Felling",-2.25335178555414,52.0389147410751,276.206549063041,1.56949494949495,1.55707070707071,109,110
"360","A",4145,NA,"2017<2024",2024,"Intermediate","Norway spruce",1966,NA,NA,2.33261449780918,10353.7904742825,7638.7477913793,1.72745098039216,1.69512254901961,1149,1213
"361","F",3204,NA,"2017<2024",2024,"Line Intermediate","Oak (robur/petraea)",2001,-1,"Felling",3.59705177683729,1378.02386260439,1013.75323198197,1.91833333333333,1.60041666666667,67,70
"362","L",4207,NA,"2017<2024",2026,"Intermediate","Western hemlock",1967,2101,"Felling",0.579071067757746,68.0505550343514,159.118228057152,1.844,2.3005,24,27
"363","A",4107,NA,"2017<2024",2024,"Intermediate","Grand Fir",1960,NA,NA,-0.710794826731258,4015.02288087442,4475.36952335489,1.6750390625,1.9015234375,571,544
"364","C",3321,NA,"< 2016",2030,"Neutral","Oak (robur/petraea)",1810,NA,NA,5.07118810127175,6470.85144669566,3102.32614499443,1.57117647058824,1.40880392156863,192,185
"365","G",3229,NA,"2017<2024",2024,"Intermediate","Norway spruce",1962,2035,"Felling",1.45228590012437,19.0141730794057,38.0283471451039,1.463,1.30866666666667,52,57
"366","A",4614,NA,"2017<2024",2024,"Intermediate","Douglas fir",1986,2055,"Felling",2.24076469241213,829.624506021391,831.626015438196,1.54447552447552,1.47993006993007,321,307
"367","E",4615,NA,"2017<2024",2026,"No Thin","Corsican pine",1964,-1,"Felling",2.57380328335458,1009.75981394097,621.467642367665,2.31771428571429,2.15285714285714,61,60
"368","E",4619,NA,"2017<2024",2024,"Crown","Oak (robur/petraea)",1934,-1,"Felling",2.39862537313533,797.596317588082,511.382332132751,1.46409090909091,1.50954545454545,106,100
"369","D",4142,NA,"< 2016",2025,"Intermediate","Norway spruce",1968,NA,NA,4.15213241246838,263.198400937785,87.0656276208902,2.11527777777778,1.56611111111111,89,83
"370","A",4633,NA,"2017<2024",2024,"Intermediate","Oak (robur/petraea)",1951,-1,"Felling",1.66285915086362,4993.70548005094,4013.97820716919,1.63375,1.52294444444444,344,308
"371","C",4227,NA,"2017<2024",2027,"Line Intermediate","Hybrid larch",2002,2027,"Felling",1.12212656252889,1642.22013050488,2556.89971847674,2.2137,2.0792,156,150
"372","C",4629,NA,"< 2016",2025,"Intermediate","Norway spruce",1963,2026,"Felling",2.84727467489399,180.135521923752,143.107664167241,1.66545454545455,1.36347107438017,214,195
"373","E",3503,NA,"2017<2024",2027,"Intermediate","Douglas fir",1963,NA,NA,1.92290773672255,963.68814263017,641.458061491241,1.87946428571429,1.85,79,68
"374","J",4600,NA,"2017<2024",2024,"Crown","Beech",1930,-1,"Felling",2.01972021905225,0,0,1.13020833333333,1.40104166666667,29,24
"375","G",4644,NA,"2017<2024",2025,"Intermediate","Grand Fir",1966,2052,"Felling",-1.39008755287939,284.209785503866,377.278349371183,1.3787037037037,1.64555555555556,48,49
"376","B",4408,NA,"2017<2024",2028,"Line Intermediate","Japanese larch",2004,2066,"Felling",0.193025781674686,863.648427617096,3531.65197726283,1.7446,1.994,308,267
"377","B",4206,NA,"2017<2024",2026,"Intermediate","Douglas fir",1966,2101,"Felling",2.83782637579461,848.62997403818,954.709097379047,1.56525641025641,1.43888888888889,563,565
"378","G",4331,"thinning and planting","2017<2024",2026,"Intermediate","Scots pine",1924,-1,"Felling",-1.31332144270636,150.11247421048,1179.88409888468,1.63805555555556,1.94680555555556,46,47
"379","A",4217,NA,"2017<2024",NA,"","Sweet chestnut",1951,-1,"Felling",2.27815269615553,3194.39036566682,2593.94106870531,1.59673796791444,1.52016042780749,730,647
"380","B",3220,NA,"2017<2024",2024,"Intermediate","Norway spruce",1961,-1,"Felling",1.61493088878743,1045.77927218432,571.425804558261,1.32415384615385,1.27758974358974,475,511
"381","H",4620,NA,"2017<2024",2025,"Intermediate","European larch",1944,-1,"Felling",-3.43841070293757,177.132853508905,165.123852123441,1.343,1.45583333333333,58,40
